id;date;details;status;payment_method;payment_date;payment_amount
1;2020-11-01T14:38:07;RAM Focused;PAID;CASH_ON_DELIVERY;2020-11-01T23:00:14;64379
2;2020-11-01T11:28:13;Licensed Soft Sausages Rhode Island;CANCELLED;CASH_ON_DELIVERY;2020-11-01T16:38:31;17323
3;2020-11-01T15:55:38;Incredible Baby;CANCELLED;PAYPAL;2020-11-01T19:27:19;11017
4;2020-11-01T13:25:33;back-end Money Market Account Legacy;ISSUED;CASH_ON_DELIVERY;2020-11-01T13:29:41;51438
5;2020-11-01T08:05:41;function;PAID;PAYPAL;2020-11-02T00:39:46;32278
6;2020-11-01T09:05:29;action-items;CANCELLED;CASH_ON_DELIVERY;2020-11-01T22:52:41;5232
7;2020-11-02T01:52:12;Internal compressing Iceland;CANCELLED;CREDIT_CARD;2020-11-01T19:29:34;62169
8;2020-11-01T11:47:16;Toys;ISSUED;PAYPAL;2020-11-01T22:25:13;10756
9;2020-11-01T13:17:41;Small Rubber Salad Oklahoma;CANCELLED;PAYPAL;2020-11-02T03:01:14;58055
10;2020-11-01T11:55:26;navigate Home Loan Account Guinea-Bissau;PAID;PAYPAL;2020-11-02T00:21:37;94075
