id;placed_date;status;code
1;2020-11-01T22:00:07;COMPLETED;Georgia calculate withdrawal
2;2020-11-01T08:56:37;COMPLETED;compress Steel out-of-the-box
3;2020-11-01T10:27:49;PENDING;Concrete
4;2020-11-01T23:53:44;CANCELLED;Investment Account
5;2020-11-01T11:10:34;PENDING;United States of America
6;2020-11-02T01:22:38;CANCELLED;IB Industrial Credit Card Account
7;2020-11-02T04:29:03;CANCELLED;Cotton Egyptian Pound
8;2020-11-01T13:25:07;COMPLETED;Home Loan Account
9;2020-11-01T22:19:23;COMPLETED;Human
10;2020-11-01T08:28:01;CANCELLED;payment
